Time,Lat,Long,Moisture (0-1023),Temperature (C)
2024-03-30 07:41:26.711631,33.81288528333333,-84.16034798333332,732.5032166508988,14.2871
2024-03-30 07:43:12.600011,33.81265663333333,-84.16050848333334,780.2892147587512,12.918299999999999
2024-03-30 07:45:11.286848,33.81252725,-84.16076828333334,861.1376537369915,11.6497
2024-03-30 07:47:11.574480,33.8127658,-84.16097806666666,727.258183538316,13.6187
2024-03-30 07:49:10.871053,33.8127267,-84.16135255,867.8063386944181,13.7437
2024-03-30 08:00:09.238561,33.811774650000004,-84.15973571666665,708.803784295175,12.405899999999999
2024-03-30 08:06:29.654458,33.81227693333333,-84.15652535,784.5976348155157,12.7499
2024-03-30 08:11:59.702618,33.81181831666667,-84.15402531666668,789.3181646168401,13.0936
2024-03-30 08:18:28.727184,33.81119703333333,-84.15044741666667,695.2072847682118,12.6123
2024-03-30 08:24:33.814473,33.81031846666666,-84.14792146666667,823.9447492904446,12.6435
2024-03-30 08:30:11.542683,33.80971659999999,-84.14510205,818.9931882686851,13.5185
2024-03-30 08:37:01.462702,33.809082466666666,-84.14265678333334,901.8178807947019,12.699699999999998
2024-03-30 08:39:59.734369,33.80867475000001,-84.14171803333333,863.2856196783348,13.3935
2024-03-30 08:45:52.246712,33.80825648333333,-84.13888604999998,890.5691579943235,12.8184
2024-03-30 08:50:36.118383,33.80795033333334,-84.13698308333335,859.3893093661306,13.7499
2024-03-30 08:55:47.542580,33.80761845,-84.13510950000001,746.8396404919583,14.1745
2024-03-30 09:00:29.398390,33.8066498,-84.13468266666666,803.9543046357617,16.031
2024-03-30 09:03:05.942513,33.8065819,-84.13408323333334,818.9713339640491,16.906
2024-03-30 09:27:57.238624,33.80552073333333,-84.13383043333333,704.854399243141,15.174600000000002
2024-03-30 09:38:12.438454,33.802695916666664,-84.1326585,816.7827814569538,15.231100000000001
2024-03-30 09:54:47.990532,33.801986500000005,-84.13171551666667,656.7312204351939,15.606100000000001
2024-03-30 10:05:48.822719,33.80085605,-84.13175463333333,658.3421948912015,15.7437
2024-03-30 10:17:49.334507,33.802890733333335,-84.13399663333334,764.1045411542101,15.4121
2024-03-30 10:22:56.342342,33.801082050000005,-84.13459571666667,723.5648060548723,17.9185
2024-03-30 10:25:55.830478,33.800563200000006,-84.13489626666666,879.7668874172184,18.3625
2024-03-30 10:30:16.055250,33.799365249999994,-84.13402879999998,752.0815515610218,15.9686
2024-03-30 10:31:24.534452,33.79899425,-84.13399358333334,0.0,20.9497
2024-03-30 10:35:32.247408,33.79838699999999,-84.13551351666666,734.3296121097445,23.406
2024-03-30 10:40:15.894589,33.798621233333336,-84.13714008333334,919.4886471144749,22.456
2024-03-30 10:42:49.654911,33.79802681666666,-84.13787210000001,869.4110690633868,17.8687
2024-03-30 10:45:01.846513,33.79770995,-84.13898341666666,764.294985808893,20.4875
2024-03-30 10:51:53.814790,33.79627428333333,-84.14042436666668,804.3601702932829,13.256099999999998
2024-03-30 10:55:39.798546,33.7959288,-84.14150986666667,818.4,15.8436
2024-03-30 10:59:07.510616,33.79630506666667,-84.14314941666667,762.7620624408704,15.5559
2024-03-30 11:02:55.958635,33.79675805000001,-84.14438241666667,698.1638599810786,15.7624
2024-03-30 11:09:13.974570,33.79725298333334,-84.14674461666667,867.1850520340588,12.8687
2024-03-30 11:14:36.694192,33.79801608333334,-84.14889538333333,847.4724692526017,13.7623
2024-03-30 11:18:42.742597,33.79812868333334,-84.15056051666666,787.1358561967834,14.906
2024-03-30 11:22:40.215135,33.7976857,-84.15172655,730.5862819299905,14.305800000000001
2024-03-30 11:28:08.950583,33.79859585,-84.15419933333332,900.0976348155157,19.418300000000006
2024-03-30 11:30:09.334354,33.7987161,-84.15383715,883.8442762535478,22.2312
2024-03-30 11:46:57.590482,33.799528933333335,-84.15319208333334,831.6593188268686,21.8749
2024-03-30 11:53:50.774530,33.80070263333333,-84.15285429999999,768.5191106906339,16.3874
2024-03-30 11:58:05.110578,33.80176148333332,-84.15403516666667,756.9363292336803,19.8499
2024-03-30 12:02:41.142832,33.80329926666667,-84.15504463333333,816.3769157994323,15.6621
2024-03-30 12:10:30.422664,33.80522783333333,-84.1556087,855.2245033112583,17.8935
2024-03-30 12:16:40.023123,33.804770899999994,-84.15560903333332,0.0,25.2498
2024-03-30 12:19:14.870525,33.804795966666674,-84.15637533333333,836.6140018921476,19.280900000000003
2024-03-30 12:24:40.086566,33.80630436666667,-84.15708783333335,651.2988647114474,20.043400000000002
2024-03-30 12:29:23.062434,33.807541400000005,-84.15798256666667,755.272280037843,18.837200000000003
2024-03-30 12:39:11.958315,33.809398316666666,-84.16122153333333,838.2499526963104,19.1248
2024-03-30 12:41:55.606618,33.8099862,-84.16144168333334,814.5192999053927,19.4999
2024-03-30 12:45:32.438380,33.81122071666667,-84.16130891666667,877.7968779564806,21.4937
2024-03-30 12:47:32.918406,33.81167631666667,-84.16127165,822.7646168401136,21.774700000000003
2024-03-30 12:50:02.454679,33.81232225,-84.16090208333334,897.3564806054871,23.549500000000002
